ago|(今から)…前に
find|…を見つける、発見する
found|findの過去形
holiday|休日、休暇
abroad|外国に[へ、で]、海外に[へ、で]
aunt|おば、おばさん
uncle|おじ、おじさん
husband|夫
wife|妻
far|遠くに[へ]
tall|身長[高さ]がある
weigh|…の重さがある
gift|贈り物
cookie|クッキー
rode|ride(…に乗る)の過去形
scary|恐ろしい、こわい
communicate|連絡する、意思の疎通をする
culture|文化
check|…を調べる、チェックする、検査
guest|客、泊まり客
clerk|店員、フロント係
trouble|困惑、面倒、迷惑
right away|すぐに
world|世界
change|変わる、変化する
kind|種類
even|…でさえ
heard|hear(…を耳にする)の過去形
hear of|…について聞く
sometime|いつか、そのうち
originally|もとは、はじめは
be interested in|…に興味がある
easy|易しい、簡単な
directly|直接に
century|世紀、100年
company|会社
produce|…を生産する、…を生じる
powder|粉
thick|濃い、どろっとした
for sale|売り物の
create|…を創造する、つくり出す
wrap|…を巻きつける
name ... after ～|～にちなんで…を名づける
call back|折り返し電話する
take ... away|…を奪う、持ち去る
learn|…を学ぶ、習う
progress|進歩、発達
disappear|姿を消す、消滅する
appear|現れる、姿を現す
should|…すべきである
translator|翻訳家、通訳者
translation|翻訳
career|職業
advice|忠告、助言
in the future|未来に、将来に
according to|…によれば
explain|…を説明する
sentence|文
knew|know(知っている)の過去形
deep|深い
knowledge|知識、理解
develop|…を発達させる
sense|感覚、センス
general|一般的な、総合的な、全体的な
specific|特定の、具体的な
continue|…を続ける
strength|強さ、長所
bridge|橋、架け橋
misunderstand|…を誤解する
meaning|意味
moreover|なおそのうえに、さらに
writer|筆者、作家
feeling|感情、気持ち
catch|…を捕まえる、…をとらえる
human|人間、人
necessary|必要な
relationship|関係、結びつき
connect|…を結びつける、つなぐ
everything|何でも、全てのもの[こと]
reason|理由、根拠
between|…(と～)の間で[に、の]
through|…のために、…によって
People were looking at the plant.|人々はその植物を見ていました。
There are many seafood restaurants here.|ここにはたくさんのシーフードレストランがあります。
What can we experience on overseas trips?|私たちは海外旅行で何を経験できますか。
I am going to visit Singapore next week.|私は来週シンガポールを訪れるつもりです。
Are you going to arrive at the museum at 9:30?|あなたは博物館に9:30に着く予定ですか。
I will make a reservation.|私が予約をしましょう。
I will show you the article.|私はあなたにその記事を見せましょう。
People call it the Singapore Flyer.|人々はそれをシンガポールフライヤーと呼びます。
When I'm free, I often listen to music.|私が暇なとき、よく音楽を聴きます。
If you have time, we can go.|もし時間があれば、私たちは行くことができます。
I think that curry came to Japan from India.|私はカレーがインドから日本に来たと思います。
I do not eat sushi because I do not like raw fish.|私は生魚が好きではないので、寿司は食べません。
We use computers to do many things.|私たちは多くのことをするためにコンピュータを使います。
I am surprised to see this.|私はこれを見て驚いています。
We have various things to translate.|私たちには翻訳すべきものがいろいろあります。
It is important to use AI effectively.|人工知能を効率的に使うことが重要です。
May I ask you a favor?|1つお願いしてもよろしいですか。
Could you take our picture?|私たちの写真を撮ってくださいませんか。
