fact|事実
believe|…だと信じる
increase|…を増やす
brain|頭脳
wide|幅の広い
apply|当てはまる
below|下に[の]
above|上に[の]
ever|今まで
match|試合
internet|インターネット
opinion|意見
support|…を支援する
bright|明るい
super|とても、すごく
yet|まだ
sleep|眠る
already|もう
since|…以来
less|もっと少なく
strict|厳しい
speed|速度
actually|実は
pop|大衆的な
goodbye|さようなら
let|…に…させる
until|…までずっと
die|死ぬ
fly|飛ぶ
drive|運転する
law|法律
report|報告
population|人口
user|使用者
amaze|…をびっくりさせる
website|ウェブサイト
danger|危険(性)
challenge|難問
image|像
include|…を含む
either|…も(～ない)
environment|環境
development|開発
relate|…を(～に)関係させる
Chinese|中国語
survive|生き残る
protect|…を保護する
metal|金属
affect|…に影響を与える
era|時代、年代

speak, spoke, spoken|話す【原形、過去形、過去分詞形】
be, was/were, been|ある【原形、過去形、過去分詞形】
write, wrote, written|書く【原形、過去形、過去分詞形】
hold, held, held|つかむ、開催する【原形、過去形、過去分詞形】
see, saw, seen|目に入る【原形、過去形、過去分詞形】
read, read, read|読む【原形、過去形、過去分詞形】
hear, heard, heard|耳に入る【原形、過去形、過去分詞形】
become, became, become|なる【原形、過去形、過去分詞形】

All the best,|万事うまくいきますように
one by one|1人(1つ)ずつ
not always|いつも…とは限らない
get over|…を乗り越える
more and more|ますます
on TV|テレビで
work on|…に取り組む
feel free to|遠慮なく…する

It is said that she is the best tennis player in the world.|彼女は世界一のテニス選手であると言われている。
I was amazed at his taiko performance.|私は彼のタイコ演奏に驚かされました。
I'm satisfied with the game result.|私は試合結果に満足しています。
How long have you lived in Sapporo?|あなたはどのくらい札幌に住んでいますか。
This car is different from that one.|この車はあの車とは違います。
He is popular not only in America but also in Japan.|彼はアメリカだけでなく日本でも人気があります。
I get up so early that I could see a beautiful sunrise.|私はとても早く起きたので美しい日の出を見ることができました。
