apply|当てはまる
been|beの過去分詞
believe|…だと思う、信じる
destroy|…を破壊する
drive|運転する
fly|飛ぶ
increase|…を増やす、増大させる
let|(人)に…させる
protect|…を守る、保護する
relate|…を(～に)関係させる
sleep|眠る、寝ている
spoken|speakの過去分詞
support|…を支援する、応援する
survive|生き残る
written|writeの過去分詞
accident|事故
action|行動
activity|活動
article|記事
brain|頭脳
century|世紀、100年
climate|気候
culture|文化
company|会社
device|装置
fact|事実、現実
internet|インターネット
law|法律、法
match|試合、競技
opinion|意見、考え
period|時代、時限
power|力、能力
role|役、役割
sentence|文
technology|(科学)技術
awesome|すばらしい、最高の
bright|明るい
common|ふつうの、共通の
effective|効果的な
electronic|電子の
pop|大衆的な
positive|肯定の、前向きな
possible|(物事が)可能な、できる
strict|厳しい
stylish|おしゃれな、センスのよい
well-known|有名な
wide|幅の広い、(範囲などが)広い
above|上に、上記に(の)
actually|実は、本当は
already|すでに、もう
below|下に、下記に(の)
carefully|注意深く
either|…もまた(～ない)
ever|今まで、かつて
just|たった今
less|もっと少なく、より…でなく
never|今までに一度も～しない
yet|[疑]もう、すでに [否]まだ、今のところは
quite|かなり、相当
super|とても、すごく
goodbye|さようなら
since|…(して)以来
I was amazed at the technology.|私はその技術に驚いた。
The article is different from the fact.|その記事は事実と違う。
They are interested in the devices.|彼らはその装置に興味がある。
We are satisfied with your opinion.|私たちは君の意見に満足している。
He decided to be less strict.|彼はもっと厳しくなくすると決めた。
She has been to his company.|彼女は彼の会社に行ったことがある。
How long has he been sleeping?|彼はどれくらい長く眠り続けているの。
That accident reminded me of a match.|その事故は私に、ある試合を思い出させた。
