特権|privilege
任命|appointment
を直す|mend
頼る|depend
危機|crisis
一部|portion
経験|experience
を製造する|produce
欠如|lack
機会|opportunity
手順|procedure
優先|priority
積み荷|load
事業|enterprise
に保証する|assure
取り扱う|deal
特性|property
を分配する|distribute
丸薬|pill
地所|estate
足跡|track
有用性|utility
例|instance
契約|contract
段階|phase
を分ける|share
に納得させる|convince
報酬|reward
脅威|menace
任務|mission
計画|scheme
同僚|colleague
物|object
輝き|glow
を獲得する|obtain
を昇進させる|promote
を輸入する|import
表面|surface
驚き|alarm
装備|equipment
前後関係|context
物質|substance
を稼ぐ|earn
を適用する|apply
を制限する|limit
を雇う|employ
糸|thread
機能|function
注意|attention
構成要素|component
責任がある|responsible
に従う|obey
を禁止する|forbid
全部そろった|complete
単純な|plain
最終の|ultimate
に値する|deserve
を帰する|attribute
初めの|initial
を取得する|acquire
を受け取る|accept
を達成する|achieve
に命じる|command
固定された|steady
完全な|absolute
をつり下げる|suspend
主な|principal
を許可する|allow
特定の|specific
きつい|tight
を要求する|claim
を操作する|operate
一時的な|temporary
を必要とする|require
次の|following
を広告する|advertise
前者の|former
を許す|forgive
を向ける|direct
おおよその|approximate
退職する|retire
を説得する|persuade
を決定する|determine
を除外する|omit
後者の|latter
を決心する|resolve
を扱う|handle
正しい|correct
を断言する|assert
を造る|manufacture
具体的な|concrete
かなりの|considerable
に強いる|force
を占める|occupy
に意見を求める|consult
政治の|political
をやめる|quit
実際の|actual
を見落とす|overlook
を放送する|broadcast
半島|peninsula
に近づく|approach
市民|citizen
舗装道路|pavement
を想定する|assume
奴隷|slave
起源|origin
を分ける|separate
進歩|progress
利益|profit
船旅|voyage
の基礎を築く|found
種族|tribe
移動手段|transportation
人類|mankind
遺産|heritage
子孫|descendant
文明|civilization
時代|era
現れる|appear
学会|congress
地区|district
植民地|colony
目的地|destination
を宣言する|declare
源|source
する余裕がある|afford
伝統|tradition
繁栄|prosperity
国籍|nationality
職業|occupation
専門用語|term
地方|province
を壊滅させる|ruin
を翻訳する|translate
先祖|ancestor
運賃|fare
依然として～のままである|remain
マスメディア|media
10年間|decade
雰囲気|atmosphere
運命|destiny
気候|climate
伝記|biography
見晴らし|outlook
進化|evolution
境界線|boundary
財宝|treasure
移民|immigrant
伝説|legend
加わる|participate
を賭ける|bet
を征服する|conquer
を適合させる|adjust
を交換する|exchange
を予約する|reserve
を禁止する|ban
言葉の|linguistic
を移す|transfer
を経験する|undergo
短時間の|brief
終わる|cease
が掛かる|cost
今の|current
をたどる|trace
計り知れない|immense
を組織する|organize
流ちょうな|fluent
融通の利く|flexible
見えなくなる|disappear
都市の|urban
を延期する|delay
を支配する|rule
を発達させる|develop
古代の|ancient
を意図する|intend
何とか～する|manage
母国の|native
優れている|excel
を囲む|surround
田舎の|rural
を自由にする|release
を取り消す|cancel
学識のある|literate
を結合させる|unite
おびえた|frightened
を行う|conduct
満足して|content
理想的な|ideal
を提出する|submit
退屈な|boring
減少する|decrease
神聖な|holy
独立した|independant
速い|rapid
を前進させる|advance
空いている|vacant
入り組んだ|involved
に侵入する|invade
を上げる|raise
