コーパス stage8

promise|約束を守る keep a ()
earthquake|大地震 a strong ()
crash|墜落現場 the site of a ()
tradition|宗教的な伝統 a religious ()
habit|悪習 a bad ()
conclude|証拠から結論を下す () from the evidence
eventually|最終的に成功する () make success
concentrate|集中するのが難しいとわかる find it hard to ()
expand|急激にふくらむ () rapidly
specific|特定の分野 a () area
demonstrate|効果を証明する () the effectiveness
transition|季節の移りかわり season's ()
shift|視線を移す () my eyes
pleasant|心地よい場所 a () place
lend|お金を貸す () money
pretty|きれいな女性 a () woman
gradually|徐々に増える increase ()
embarassment, embarrased|困惑している feel ()
severe|激しい嵐 a () storm
foolish|ばかげた冗談 a () joke
secret|秘密を守る keep a ()
senior|上級の役職 a () position

due|その事故は大雪が原因だった The accident was () to the heavy snow.
accident|偶然に by ()
duties|看護師の職務 the () of a nurse
afford|私にはそのコンピュータを買う余裕がなかった I couldn't () to buy the computer.
customs|税関
fix|この棚を壁に固定してください Please () this shelf to the wall.
tiny|私の部屋は本当に狭い My room is really ().
cures|この薬は胃痛に効く This medicine () stomachaches.
handle|(ドアの)ノブ
cope|私にはそんなにたくさんの仕事は処理できない I can't () with so much work.
obvious, plain|彼女が君のことを好きなのは明らかだよ It is () to me that she loves you.
stage|この段階では私には勝者を予測できない I cannot predict a winner at this ().
borrowed|私はハドソン先生からその本を(ただで)借りた I () the book from Ms. Hudson.
liquid|液体
floating|池に木の葉が浮かんでいた Leaves were () on the pond.
districts|その市には4つの学区がある There are four school () in the city.
clue|警察はついにその事件の手がかりを見つけた The police have found a () to the case at last.
switched|インタビュアーは日本語から英語に言葉を切りかえた The interviewer () from Japanese to English.
passion|マリアは外国語を学ぶことに熱中している Maria has a passion for learning foreign languages.
matters|さらに悪いことに to make () worse
stop|バス停 a bus ()
charge|彼は広報を担当している He is in () of public relations.

flood|そのハリケーンは洪水を引きおこした The hurricane caused a ().
besides|そのうえ
broad|その歌手のファン層は広い The singer has a () range of fans.
proper|コーヒーの適切ないれ方 the () way to make coffee
pick|花をつむ () a flower
reasonable|てごろな値段で at a () price
manner|親しげに in a friendly ()
lifted|目を上げた () her eyes
joy|私たちはその結果に跳び上がって喜んだ We jumped for () at the result.
threatened|その男は私を銃で脅した The man () me with a gun.
rent|このアパートの家賃はいくらですか How much is the () for this apartmen?
lied|彼はうそを言った He () to me
election|選挙
poured|彼の目から涙があふれ出た Tears () from his eyes.
stupid|あんなことをするなんて私は愚かだった I was () of me to do that.
justice|正義
directed|その事件は世間一般の関心を食の安全に向けさせた The incident () public attention to food safety.
eager|彼はウェブデザインを習いたがっている He is () to learn web designing.
lead|世界の先端を行く () the world
