篠路西中2 冬休み課題

product|製品
staff|職員、従業員
hold|をつかむ、抱く
common|普通の、よくある、共通の
glad|うれしい
baby,babies|赤ん坊(複数形も)
better|もっとよい
than|よりも
neighbor|近所の人、隣人
action|行動
more|もっと
most|いちばん、最も
answer|に答える
same|同じ
story,stories|話、物語(複数形も)
letter|文字
row|(座席の)列

I know how to use these products.|私はこれらの製品の使い方を知っています。
I can show you how to use these products.|私はこれらの製品の使い方をあなたに見せることができます。
I am sure that these ideas help many people.|私はこれらの考えが多くの人々を助けると確信しています。
This movie is older than that one.|この映画はあの映画よりも古いです。
This movie is the oldest of the three.|この映画は3つ(の映画)の中で最も古いです。
This movie is more interesting than that one.|この映画はあの映画よりもおもしろいです。
This movie is the most interesting this year.|この映画は今年いちばんおもしろいです。
I like animated movies the best of all.|私は全ての中でアニメ映画が一番好きです。
This movie is as popular as that one.|この映画はあの映画と同じくらい人気がある。

