ago|(今から)…前に
arrive|到着する
plant|植物
experience|…を経験する、経験
holiday|休日、休暇
abroad|外国へ、外国で
aunt|おば、おばさん
uncle|おじ、おじさん
husband|夫
wife|妻
language|言語、言葉
far|遠くに、遠くへ
will|…でしょう、…するつもりだ
tall|身長が…ある
directly|直接に
gift|贈り物
wrap|…を巻き付ける
show|…を案内する、…を見せる
culture|文化
guest|客、泊り客
trouble|困難、面倒、迷惑
change|変わる、変化する
world|世界
even|～でさえ
never|今までに一度も…しない
if|もし…ならば
century|世紀、100年
company|会社
produce|…を生産する
sale|販売
thick|濃い、ドロッとした
easy|やさしい、簡単な
because|…だから、…なので
may|～してもよい
favor|親切な行為
create|…を創造する、作り出す
sauce|ソース
raw|生の
kind|種類
scary|恐ろしい、こわい
communicate|意思の疎通をする
reservation|予約
weigh|…の重さがある
originally|もとは、はじめは
sometime|いつか
went|行った
found|見つけた
gave|与えた
became|～になった
ate|食べた
rode|乗った
heard|聞こえた
took|持っていった、とった
put|置いた、のせた
saw|見た
had|持っていた
bought|買った
came|来た
made|作った
go shopping|買い物に行く
He went shopping yesterday.|彼は昨日買い物に行った。
play video games|テレビゲームをする
I will play video games tomorrow.|ぼくは明日テレビゲームをするつもりだ。
listen to music|音楽を聞く
She was listening to music then.|彼女はそのとき音楽を聞いていた。
do my homework|宿題をする
He did his homework.|彼は宿題をした。
look for the book|本を探す
I am looking for the book.|ぼくはその本を探している。
walk my dog|犬の散歩をする
She walks her dog every day.|彼女は毎日犬の散歩をする。
watch movies|映画を見る
He watches movies on Sunday(s).|彼は日曜に映画を見る。
stay at home|家にいる
May I stay at home today?|今日は家にいていいですか。
They named their baby after famous singer.|彼らは赤ちゃんを有名な歌手にちなんで名づけた。
Mr. Temple comes from Hawaii.|テンプル先生はハワイ出身です。
The people next door are very kind.|となりの家の人はとても親切だ。
Could you open the window?|窓を開けてくださいませんか。
There are many kinds of curry recipes.|たくさんのカレーのレシピがあります。
I'll call you back later.|あとでかけ直すね。
May I come in?|中に入ってもよろしいですか。
I'm interested in animals.|私は動物に興味があります。
