コーパス

fill|満たす
lack|欠如、不足
several|いくつかの
couple|2つ
pair|対、組
alone|1人で

maintain|を維持する
preserve|を保護する

economy|経済
market|市場
trade|貿易、取引
cost|費用(がかかる)

date|日付
spring|春、バネ
moment|瞬間
term|期間、学期、用語

practice|練習する
scientific|科学的な
experiment|実験(する)

light|光、軽い
bright|明るい
dark|暗い
shine|輝く

plan|計画
project|事業
schedule|スケジュール

emotion|感情
mood|気分、機嫌
treat|接する、扱う
encourage|を勇気づける、励ます

international|国際的な
global|全世界の、地球規模の
worldwide|世界的な

complete|完全な、すべて揃った
perfect|完全な、欠陥のない、完璧な
rough|ざらざらした、粗い
dense|密集した、濃い

certain|確信している、特定の、某
certainly|きっと、確かに
confidence|自信

approach|に近づく
touch|に触れる
contact|(に)接触(する)、(に)連絡(する)

service|勤務、奉仕、公共事業
serve|仕える、勤める、(料理を)出す
customer|顧客、取引先
commission|委任(された仕事)、任務

behavior|ふるまい、行動
behave|ふるまう
act, conduct|行動する、行い (3文字と7文字の2種類)
tend|傾向がある
pretend|ふりをする

agree|賛成する、同意する
object|反対する、物、目的
oppose|反対する

character|性格、特色、文字、登場人物
kind|優しい、親切な
active|活動的な、活発な
